MOTOR VEHICLE THEFT,2004,22805
KIDNAPPING,2004,482
OTHER NARCOTIC VIOLATION,2005,9
OTHER NARCOTIC VIOLATION,2006,9
PUBLIC INDECENCY,2005,4
INTERFERENCE WITH PUBLIC OFFICER,2005,615
WEAPONS VIOLATION,2006,3821
WEAPONS VIOLATION,2005,4106
LIQUOR LAW VIOLATION,2005,1005
INTERFERENCE WITH PUBLIC OFFICER,2006,758
PUBLIC PEACE VIOLATION,2005,2730
INTIMIDATION,2005,258
STALKING,2005,192
OBSCENITY,2005,19
INTIMIDATION,2006,276
RITUALISM,2005,2
KIDNAPPING,2005,389
GAMBLING,2005,1078
PUBLIC PEACE VIOLATION,2006,3068
STALKING,2006,186
MOTOR VEHICLE THEFT,2005,22497
LIQUOR LAW VIOLATION,2006,1135
KIDNAPPING,2007,329
PROSTITUTION,2007,6087
OBSCENITY,2006,17
MOTOR VEHICLE THEFT,2007,18573
INTERFERENCE WITH PUBLIC OFFICER,2007,677
PUBLIC PEACE VIOLATION,2007,3315
RITUALISM,2006,7
PUBLIC INDECENCY,2006,4
INTIMIDATION,2007,255
OTHER NARCOTIC VIOLATION,2007,12
LIQUOR LAW VIOLATION,2007,1170
WEAPONS VIOLATION,2007,3554
STALKING,2007,213
KIDNAPPING,2008,359
WEAPONS VIOLATION,2008,3877
PUBLIC PEACE VIOLATION,2008,3013
INTERFERENCE WITH PUBLIC OFFICER,2008,580
PUBLIC INDECENCY,2007,5
GAMBLING,2008,1199
OBSCENITY,2007,12
PUBLIC INDECENCY,2008,4
INTIMIDATION,2008,261
STALKING,2008,190
OBSCENITY,2008,13
OTHER NARCOTIC VIOLATION,2008,12
RITUALISM,2007,1
PROSTITUTION,2008,5141
INTIMIDATION,2009,231
PUBLIC INDECENCY,2009,10
OTHER NARCOTIC VIOLATION,2009,7
PUBLIC PEACE VIOLATION,2009,3147
INTERFERENCE WITH PUBLIC OFFICER,2009,573
OBSCENITY,2009,21
KIDNAPPING,2009,293
STALKING,2009,168
WEAPONS VIOLATION,2009,4159
CRIMINAL TRESPASS,2009,10851
LIQUOR LAW VIOLATION,2009,746
INTIMIDATION,2011,171
